label,text
fan_reaction,i've seen more intensity in a local sunday league match than whatever that first half was supposed to be.
fan_reaction,"Shirts made off the same material as football players, Fragile as usual"
fan_reaction,ref is literally guessing at this point he has zero control over the match and everyone knows it.
fan_reaction,God I love the Mexican jersey. The design is awesome
fan_reaction,oh my god he actually scored it from there??
fan_reaction,Sack the manager now!
fan_reaction,that's never a foul. he went down like he was shot.
fan_reaction,ref is on the payroll for sure. check his bank account.
fan_reaction,finally he gets subbed off. should've happened at 45'.
fan_reaction,i’m so tired of var ruining the celebrations.
fan_reaction,Dude turns 39 next week and just put up a hat trick to tie the WC goal record. There are no words to truly describe what we're witnessing.
fan_reaction,GOAT. Comes and scores hattrick gets subbed. Absolute peak.
fan_reaction,We all are unbelievably lucky to be born at a time to watch this man play football
fan_reaction,"I'm thankful to be witnessing this, and I'm gonna miss him the day he retires"
fan_reaction,We all knew as soon as he received the ball there he would score.
fan_reaction,game’s gone. var is a joke.
fan_reaction,It's like he's playing his own game. Unreal
fan_reaction,SIUUUUUUUUUUUUUUUUUUUUU
fan_reaction,absolute robbery. we were the better team for 90 mins.
fan_reaction,how do you miss that from 2 yards out? my grandma scores that.
fan_reaction,i can’t breathe. 10 mins of added time is going to kill me.
fan_reaction,ball don't lie!! justice served.
fan_reaction,football is the most beautiful and cruel game at the same time.
fan_reaction,tears in my eyes. finally a win.
fan_reaction,why is he taking off our best player? manager is cooked.
fan_reaction,what a hit son! take a bow!
fan_reaction,i’m turning the tv off. i can’t watch this anymore.
fan_reaction,my heart is actually pounding so fast right now
fan_reaction,get that man a statue immediately.
fan_reaction,Haaland looking like he's about to invade the north of england
fan_reaction,Brazil already has Neymar so it's cursed
fan_reaction,I’ve seen this dude score that same damn goal for over 15 years.
fan_reaction,I love the World Cup
fan_reaction,FIRST CAREER WORLD CUP HAT TRICK AT 50 YEARS OF AGE HOLY SHIT
fan_reaction,He could be in a wheelchair and still be the best player on the field
fan_reaction,what a strike! that's going straight into the highlight reels.
fan_reaction,he's him. best player on the pitch by a mile today.
fan_reaction,VAR check is taking forever just let us play ffs.
fan_reaction,the script is actually perfect for messi to win it again and i'm here for the absolute chaos it causes.
fan_reaction,game's gone if that's considered a foul these days tbh.
fan_reaction,finally he gets subbed off smh he's been a passenger for 70 minutes and should've been gone at the half.
fan_reaction,absolute cinema.
fan_reaction,i'm going to lose my job because i'm screaming at my desk during this match but i don't even care.
fan_reaction,"That goal was pure filth, I can't believe he actually pulled that off."
fan_reaction,Ref is absolutely cooked for not giving that as a penalty tbh.
fan_reaction,"I'm actually stressed watching this, just blow the whistle already ref."
fan_reaction,look at that tackle proper brexit football that is lol he nearly took his leg off and ref says play on.
fan_reaction,"Look at those scenes in the stands, the World Cup is just different."
fan_reaction,We are so finished if we don't find an equalizer in stoppage time.
fan_reaction,bruh if we lose to bolivia i am officially deleting my account and moving to a desert island honestly.
fan_reaction,imagine paying 100 dollars for a ticket just to watch us pass sideways for 90 minutes straight smh.
fan_reaction,we actually bottled it in the 95th minute again i don't even know why i support this club it's just pain.
fan_reaction,He’s him. Literally the best player to ever wear the national shirt.
fan_reaction,pitch looks like a potato field honestly how is this even allowed in a world cup tournament?
fan_reaction,LMAO the commentator just called him world class right before he tripped over the ball i am dead.
fan_reaction,how is that not a second yellow?? consistency is dead.
fan_reaction,He played well today because he stayed wide.
fan_reaction,pure luck. they didn't deserve anything from this game.
fan_reaction,i’m booking my flights for the final right now.
fan_reaction,get him out of my club. useless.
fan_reaction,that miss is going to be on every blooper reel for 50 years.
fan_reaction,var is genuinely killing the joy of the game i can't even celebrate a goal for five minutes without a review.
fan_reaction,game's gone if that's a penalty tbh he went down like he was shot by a sniper absolute joke of a ca
fan_reaction,proper shithousery from the keeper to waste time like that and i honestly love to see it ffs we're massive.
fan_reaction,scenes in the fan zone when that went in lol i've literally lost my voice from screaming so loud just now.
hot_take,Ronaldo > Messi. Cope and seethe.
hot_take,Messi only won the World Cup because FIFA wanted the perfect script. It was rigged from the start.
hot_take,The World Cup is literally the biggest event in the modern world. Period.
hot_take,"Ngl, Prime Hazard was actually better than Prime Neymar. People just look at stats too much."
hot_take,"Even as a fan of Argentina, I was thinking he should’ve gotten at minimum a yellow"
hot_take,The Premier League is a farmers league now. Man City has ruined the competition for everyone else.
hot_take,"Real Madrid isn't even a good team, they just have some weird black magic in the Champions League."
hot_take,Harry Kane is the most overrated striker in history. Ghosting in every single final he's ever played.
hot_take,International football is 100x better than club football. The passion actually exists there.
hot_take,Saudi Pro League will be a top 3 league in the world by 2030. European fans are just scared.
hot_take,we should let mexico host the world wup by itself next time.
hot_take,"Tbh, Mbappe is going to flop at Madrid. Too many egos in that dressing room."
hot_take,Erling Haaland is just a glorified poacher. Put him in a mid-table team and he scores 5 goals a season max.
hot_take,VAR has actually made the game more entertaining because of the drama. I love the chaos.
hot_take,"Pulisic is genuinely world class. If he was Brazilian, everyone would be saying he’s worth USD 150 million."
hot_take,La Liga is boring now. It’s just 20 teams playing for a 0-0 draw every weekend.
